Emotion,Text
neutral,내가 더 낫다고 생각하는 다른 그림이 많이 있습니다. 
sadness,"그러나 개는 늙고 능력이 떨어졌고, 어느 날 길리가 와서 그 개가 뇌졸중을 앓았으므로 내려 놓아야한다고 큰 슬픔으로 설명했습니다. "
fear,티켓을 지불하지 않고 지하철이나 기차에 들어갈 때. 
fear,이 마지막 부분은 상당한 불안의 근원이 될 수 있으며 처음에는 그러한 명백한 '부도덕 한'내용이 도덕 체계의 일부로 어떻게 방어 될 수 있는지 처음에는 보지 못할 수도 있습니다. 
anger,"그녀는 그가 그들 중 일부에 대해 보여준 친밀함을 싫어했고, 그녀가 일부가 아닌 공유했던 기억에 대해 분개했고, 배제되었다고 느꼈다. "
sadness,우리 가족은 영국에 사는 어머니의 사촌이 임파선 암에 걸렸다 고 우리에게 편지를 썼다는 소식을 들었습니다. 
joy,내가 중국 실어증에 대한 규범을 수집하도록 선택되었음을 알게 됨 (나는 중국이 신경 심리학에서 서양을 따라 잡는 데 기여할 것입니다). 
anger,"대변인은 ""글렌은 새로운""무정부 상태 ""프로모션이 자신뿐만 아니라 시드 비셔스의 영상을 포함하는 것에 분노하고있다. "
neutral,예 . 
sadness,화상을 입은 사람을 보면 슬프지만 실제로는 많이 고통을 당해야한다고 생각해서 표현조차 할 수 없습니다. 
fear,연구를 위해 병원에 갔고 집에 늦게 도착했습니다. 집에 도착하면 늦어서 다투게 될까 두려웠습니다. 
sadness,어느 날 나는 친구로부터 내가 사랑하는 소년이 나와 함께가 아니라 그녀와 함께 갔다는 소식을 들었다. 
joy,코너의 목소리는 기뻤다. 
anger,아주 재미 있어요. 오늘 뭐가 문제 야? 당신은 내 비서이고 그 목소리로 저에게 말하면 안됩니다. 알고 계십니까? 
neutral,아마도 우리는 더 많은 아기를 가질 필요가 있습니다! Tina는 어제 남자 아이를 낳았습니다. 
neutral,왜 ? 
joy,`나는 내가 뛰는 방식에 매우 만족하지만 그가 잉글랜드의 플라이 하프가되어야한다고 믿는다는 것을 받아 들인다. 
fear,아기를 마차에두고 쇼핑을해야 할 때 아기에게 무슨 일이 일어 날까 봐 두려워요. 
anger,"아니, 당신은 예전에. 하지만 지금은 아닙니다. 당신은 다른 사람과 사랑에 빠졌습니다. 당신은 내 친구 Janet과 사랑에 빠졌습니다. 당신은 그녀에게 대단히 감사합니다. 당신은 그녀가 함께하는 것이 아름답고 재미 있다고 생각하고 내가 멍청하고 흥미롭지 않다고 생각합니다. "
anger,와 ! 왜 그렇게 많이? 나는 그들이 당신을 조수로 데려온 줄 알았어요. 
fear,우리 삶에 침투. 그래서 우리는 그들의 정치적 해결책을 받아들입니다. #포학 
joy,자매 및 친구 및 아이들과 함께 자발적인 피크닉-훌륭합니다. 
sadness,"처음으로 집을 떠나 다른 도시로 이사를 갔을 때 부모님이 항상 나를 도와 주실 것이지만 더 이상 부모님의 \ ""아래 \""가 아니라는 느낌이 들었습니다. 상실감을 느꼈고 이제는 혼자가되었습니다. 내 자신의 행동에 책임이 있습니다. "" "
neutral,저기. 
sadness,"시험에 불합격했다는 사실을 알게되었을 때, 이것은 내 감정뿐만 아니라 다른 중요한 과제에도 영향을 미쳤고 기록도 불완전하게 만들었습니다. "
neutral,나도 긁는 것을 멈출 수 없습니다. 그들은 어디에나 있습니다! 몰래 작은 바보들. 
joy,"좋은 아침이에요, 메리! "
anger,몇 달 전 제가 가르치고있을 때 갑자기 아이들에게 매우 화를 내고 그들 중 일부를 때렸습니다. 
neutral,왜 ? 
anger,제 여동생이 파티에서 제가 가장 좋아하는 점퍼를 잃어 버리고 그 일이 일어난 후 며칠 동안 저에게 말하지 않았을 때. 
sadness,혼자 키운 내 작은 고양이는 정원에서 놀 때 매달렸다. 
anger,주식 투자자는 광란의 통화 시장으로 인해 실망하지 않았습니다. 
sadness,"`그가 돌아온 후 나는 내가 블랙홀에있는 것 같은 느낌을 받았다. ""2 시간 동안 패배 한 윌킨슨은 낙담했다. "
joy,나를 위해 가족에게 인사하십시오. 
fear,자전거를 타면서 기분이 매우 나빴습니다 (심장과 호흡 문제). 
fear,어두운 방에 혼자있을 때마다 거리에서 혼자 걷거나 밤에는 방에서 혼자 자거나 부분적으로 만 보이는 것을 볼 수 있습니다. 이 감정은 8 살 때 끔찍한 것을 보았을 때 매우 강했습니다. 
sadness,인도가 Benson and Hedges 크리켓 트로피를 잃었을 때. 
fear,뱀이 많은 정글에 갔을 때. 
joy,섣달 그믐 날 파티에서 한동안 보지 못했던 오랜 친구를 만났어요 
anger,M.S.C 시험에 실패했을 때. 
joy,오랫동안 보지 못했던 사람을봤을 때. 
joy,주변 사람들을 보면 멍청한 사람이 멍청 해 보인다는 것을 알 수 있습니다. 
sadness,짝사랑의 사례. 
anger,내 작업에서 책임자와 나 사이의 싸움이 일어났습니다. 나는 너무 화가 나서 그 순간 느꼈던 모든 것을 말했습니다. 
sadness,아버지의 죽음은 우리가 서로 가까이 있지 않았지만. 
joy,내가 대학에 입학했을 때. 
joy,"나는 그가 오늘 아침에 돌아 오는 것을 보았다. "" "
anger,전차를 타다가 놓쳤을 때. 
sadness,Joe와 Biddy가 조금 더 쾌활 해지면서 미래에 대한 나의 계획을 논의하면서 나는 더 비참 해졌습니다. 
